电影 | 你该不会是偷了电影
看 | 我们过两天去看你。
认识 | 认识你们很高兴
什么 | 这是什么？
时候 | 什么时候决定要做自由职业者？
是 | 不会是你的
喜欢 | 大家都喜欢他
一 | 就鼓励你一下
桌子 | 老师看见我在桌子上写东西。
字 | 一个字都没有写
昨天 | 你昨天买的鞋子在哪里？
长 | 你长的很像我认识的一个人
一起 | 大家一起吃一吃
参加 | 欢迎你们都来参加
地 | 开心地说着
关于 | 关于这个问题
离开 | 你已经离开我家了
需要 | 这件事儿很麻烦，我们需要你的帮助。
嘴 | 你给我闭嘴！
报名 | 你想报名参加运动会吗？
倍 | 一百倍、一千倍、一万倍
不仅 | 我不仅去过那个城市，而且去过很多次。
诚实 | 诚实的人值得我们尊重。
出发 | 我们现在出发吧，否则会迟到的。
打扮 | 干吗给我打扮成这样？
到处 | 你吐得到处都是
道歉 | 今天我是专门来道歉的
怀疑 | 我怀疑他已经回国了
激动 | 还是第一次见他这么激动呢
经历 | 类到底在巴黎经历了什么？
经验 | 她都没什么经验
拒绝 | 我竟然没有拒绝他吻我
可惜 | 真可惜
困 | 我困了，要去睡觉。
亲戚 | 你这种没过去、没亲戚朋友
然而 | 然而她的梦我给不了
失望 | 我对你真的很失望
是否 | 我不知道他是否还想去旅行？
适合 | 挺适合你的
硕士 | 我在大学里读硕士研究生。
一切 | 祝你们这次访问一切顺利
只好 | 只好送你去宾馆了
烧 | 我还发着烧呢
什么 | 这是什么？
这里 | 这里的环境很不错，在这里住很舒服。
还有 | 还有什么问题吗？
就是 | 这就是你想要的东西
过来 | 你给我过来一下
之前 | 但是一定要在比赛之前就先讲好赌注
女孩 | 平凡的18岁女孩
亲爱 | 亲爱的姑娘
之后 | 大学毕业之后
真是 | 我真是太幸运了
根本 | 你根本就不了解杉菜
以后 | 以后不许跟他说话
看来 | 看来F4不在这儿
变成 | 它为什么会变成烂手机吗？
想到 | 没想到大学要继续当死党
收到 | 你怎么会收到小丑牌
记录 | 请不要记录
介意 | 别介意啊
各位 | 各位领导和老师
兴趣 | 很有兴趣
报告 | 记得要交上小组研究报告
必要 | 追一个女生没必要这么麻烦
痛苦 | 你们可能会感到痛苦
幸运 | 我真是太幸运了
未来 | 你的未来会发生什么事吗？
好运 | 学姐祝你好运
利用 | 要利用敌人的弱点
群 | 一群人为了去看你们
第三 | 奥克兰第三方你要去哪儿？
就要 | 我就要笑
人生 | 竟然会出现在我的人生当中
受伤 | 你刚刚没受伤吧？
舞蹈 | 跳民间舞蹈
放开 | 放开我
不然 | 不然我要生气了
反正 | 反正无论怎么说
袭击 | 你为什么要袭击巴比特啊？
路上 | 走在路上
信号 | 手机信号
确认 | 至少要确认你没有送错吧
心理 | 很懂得利用心理战
记忆 | 从我有记忆以来
对方 | 让对方输了
挑战 | 想要挑战他们
实验室 | 生物实验室
战斗 | 我要战斗！
表情 | 她脸上没有表情
赶快 | 我们赶快开始吧
事业 | 经营道明集团的事业
以来 | 从我有记忆以来
之中 | 在这四年之中
相处 | 我们三个就要好好相处
度过 | 一起度过这四年了
对手 | 不玩了什么烂对手？
打败 | 如果想要打败他们
学会 | 学会团队合作
过分 | 你不要太过分了
表明 | 科学研究表明
天才 | 我是天才
之内 | 在一个小时之内
拍照 | 跟蛋糕一起拍照
资格 | 如果F4认为你够资格的话
当中 | 在我的人生当中
全力 | 那我会尽全力留在这里
诅咒 | 我诅咒你们
个性 | 阿寺从小就个性冲动
学院 | 明德学院
